Brand,total_products,avg_rating,total_reviews,avg_reviews,avg_price,max_price,min_price,per,avg_rating_nor,avg_reviews_nor,avg_price_nor,total_productst_nor
adams_headwear,1,4.9,17,17.0,7.23,7.23,7.23,4.073485681697829e-05,0.8643441928288906,-0.2955530379845427,-0.6818464383856021,-0.278002152709314
adepoy,1,4.1,97,97.0,12.85,12.85,12.85,4.073485681697829e-05,-2.0079228620928626,0.38367280175048246,-0.5084483118056026,-0.278002152709314
adidas,344,4.695,14642,42.564,49.904,280.65,0.0,0.014012790745040532,0.12832576000519177,-0.07850642089721539,0.6348068807736331,8.484302232453825
adisputent,12,4.667,397,33.083,14.446,15.5,13.83,0.0004888182818037394,0.027796413082928826,-0.15900317322881258,-0.4592057121576169,0.0030046934620986156
adoretex,5,4.58,571,114.2,20.878,26.23,0.0,0.00020367428408489145,-0.2845626291398107,0.5297063572935129,-0.2607543331251334,-0.1758178450106185
adrian,1,4.8,16,16.0,11.09,11.09,11.09,4.073485681697829e-05,0.5053108109636699,-0.30404336098123047,-0.5627509279587697,-0.278002152709314
adventureaustria,2,4.8,27,13.5,26.625,26.81,26.44,8.146971363395658e-05,0.5053108109636699,-0.32526916847295,-0.08343777912953598,-0.25245607578464013
aegend,7,4.386,1311,187.286,10.174,14.14,0.0,0.00028514399771884804,-0.981087389958335,1.1502301038294385,-0.5910129713657589,-0.12472569116127075
afinder,1,4.7,20,20.0,10.73,10.73,10.73,4.073485681697829e-05,0.14627742909845234,-0.27008206899447923,-0.5738582812628266,-0.278002152709314
aibrou,38,4.689,775,20.395,20.483,36.75,11.47,0.001547924559045175,0.10678375709327784,-0.2667283914107875,-0.2729415680004181,0.6672026935036193
aideaone,3,5.0,26,8.667,23.06,24.21,20.76,0.00012220457045093486,1.2233775746941082,-0.3663028995159422,-0.19343143059887738,-0.22690999885996624
aidotop,5,4.84,87,17.4,16.862,19.18,15.32,0.00020367428408489145,0.6489241637097576,-0.2921569087858676,-0.3846630299837239,-0.1758178450106185
aileese,6,4.2,307,51.167,16.168,19.62,8.25,0.0002444091409018697,-1.648889480227642,-0.005464172156710106,-0.40607553885321135,-0.1502717680859446
aim_cloudbed,1,5.0,8,8.0,7.85,7.85,7.85,4.073485681697829e-05,1.2233775746941082,-0.371965944954733,-0.6627171076952819,-0.278002152709314
